air blader	afufe qilensa
blowing	afufi
cyst	afufo
liar	afuftu
to blow	afufu
spokesman	agabasa
control	agabxa
flod regulation	agabxa dado
sugar-cane	agada
norm	agane
to be gredy	agara'u
data	agargo
group data	agargo gurme
interpreting data	agargo hiku
personal data	agargo namenya
voracious person	agari
showcase	agarsifata
index	agarsiftu
cost of living index	agarsiftu basi jirenya
fuel gauge	agarsiftu boba'a
wind gauge	agarsiftu bube
parking metre	agarsiftu dhabi
signpost	agarsiftu fale
price index	agarsiftu gati
farm price index	agarsiftu gati homisha qona
unemployment index	agarsiftu hoji-dhabluma
production index	agarsiftu horata
universal indicator	agarsiftu marlala
scene	agarsisa
cultural show	agarsisa ada
art exhibition	agarsisa fayata
photo exhibition	agarsisa fako
a tourist guide	agarsisa imaltu
concert	agarsisa sirba
mountain guide	agarsisa tulu
industrial exhibition	agarsisa warsha
city guide	agarsisa magala
exhibitioner	agarsisa
showmanship	agarsisuma
to show	agarsisu
compases	agarsote
eyesight	agarta
optic	agarti
ocular prof	agarti ija
eye	agartu
presbyopia	agartu duluma
showing	agasifano
arena	agado
solitary	agala
defecation	aginsa
trunk	agoda
apelant	agura
mound	aguren
hod	agugo
subtending	agugu
hinge	agura
hinge of a dor	agura balbala
hinge of window	agura foda
barier	agura
energy barier	agura gido
roadblock	agura kara
barier ref	agura laga
embargo	agurto
oil embargo	agurto bensila
trade embargo	agurto sedano
same as malala	aja'iba
amazing	aja'ibsisa
same as yayabo	ajanda
to criticise	ajifachu
criticism	ajifano
critique	ajifata
critic	ajifata
murder	ajecha
murderer	ajeftu
thatch	ajera
thatcher	ajertu
to thatch	ajeru
kiler	ajesa
to kil	ajesu
shovel	akafa
shoveling	akafi
to shovel	akafu
grandpa	akaka
grandfather	akakayu
remote ancestor	akakile
ancestry	akakuma
kind	akaku
blod group	akaku dhiga
list of items	akaku mesha
fod type	akaku sorata
to parch	akawu
popcorn	akayi boqolo
snack	akayi buna
parched pea	akayi dangule
parched barley	akayi garbu
tofe	akayi karamela
parched chick pea	akayi shumbura
parched grain	akayi
lech	akankaresa
parasitism	akankaresuma
parasite	akankareti
aim	akeka
planed output	akeka karora
aim of a strugle	akeka qabso
aim of a revolution	akeka waraqsa
aimles	akeka-malesa
notice	akekachisa
one who gives notice	akekachisa
to point out	akekachisu
to observe	akekachu
observation	akekano
prof	akeko
pointer	akektu
spedometer	akektu dadafiti
phonetic indication	akektu qonqesi
to aim	akeku
like	aka
acording to Oromo calendar	aka lafofsa Oromoti (a.l.O.)
acording to Ethiopian calendar	aka lakofsa Abashati (a.l.A.)
acording to European calendar	aka lakofsa Oropati (a.l.Or.)
context	aka-dubiti
language academy	akadami afani
science academy	akadami bekumsa
art-academy	akadami fayata
military academy	akadami warana
situation	akata
present situatin	akata ama
necesary condition	akata barbachisa
transitional state	akata cewumsa
geological ocurence	akata cindache
economic condition	akata dinagde
socio-economic condition	akata dinagde hawasa
articulation	akata dubi
market situation	akata gaba
price range	akata gati
working condition	akata hoji
mode of production	akata horata
means of production	akata hormata
means of defence	akata itisa
living conditions	akata jirenya
highway system	akata kara
favourable situation	akata kenata
housing situation	akata mana
environmental condition	akata nanoya
maner of eating	akata nyata
weather condition	akata qilensa
format	akata qophi
historical condition	akata sena
political situation	akata taliga
standard condition	akata waltina
mariage consumation	akata waromi
linguistic feature	akata xinqoqa
serious situation	akata yachisa
liquid state	akata yato
style	akate
simile	akati
grandmother	akawo
model	akaya
model airplane	akaya balali'a
working model	akaya hoji
model schol	akaya mana barumsa
farm model	akaya qotisa
simile	ake
mockery	akesa
imitative	akesa
imitator	akesitu
to mock	akesu
spit	akifata
patern	akina
regime of a river	akina laga
system of equation	akina qixeta
great-grandmother	akiye
acordion	akordiyo
acordionsit	akordiyontu
architecture	akuja
climate	akulensa
highland climate	akulensa bada
mountain climate	akulensa gara
tropical climate	akulensa gamoji
extreme climate	akulensa gonke
lowland climate	akulensa malbe
Mediteranean climate	akulensa Meditiraniya
insular climate	akulensa odola
way	akumsa
cultural factors	akumsa ada
nerve system	akumsa arsitu
central nervous system	akumsa arsitu waltaji
